
+===============================================================================================+
|   ____    _    _____ _____   ___ _   _    ____    ___     _______         ____    ___   ___   |
|  / ___|  / \  |  ___| ____| |_ _| \ | |  / ___|  / \ \   / / ____| __   _|___ \  / _ \ / _ \  |
|  \___ \ / _ \ | |_  |  _|    | ||  \| | | |     / _ \ \ / /|  _|   \ \ / / __) || | | | | | | |
|   ___) / ___ \|  _| | |___   | || |\  | | |___ / ___ \ V / | |___   \ V / / __/ | |_| | |_| | |
|  |____/_/   \_\_|   |_____| |___|_| \_|  \____/_/   \_\_/  |_____|   \_/ |_____(_)___(_)___/  |
|                                                                                               |
+===============================================================================================+
|                                                                                               |
| Mesh info:                                                                                    |
+---------------+------------+------------------------------------------+-----------------------+
| # of elements | # of nodes | Location                                 |                       |
+---------------+------------+------------------------------------------+-----------------------+
| 32839         | 7474       | ../../../../grids/cavern_regular_1200_3D |                       |
+---------------+------------+------------------------------------------+-----------------------+
|                                                                                               |
| Partition(s) info:                                                                            |
+-------------+---------------+------------+----------------------------------------------------+
| Partition # | # of elements | # of nodes |                                                    |
+-------------+---------------+------------+----------------------------------------------------+
|      1      |     32839     |    7474    |                                                    |
+-------------+---------------+------------+----------------------------------------------------+
|                                                                                               |
| Solver info:                                                                                  |
+----------+---------+----------+--------+------------------------------------------------------+
| KSP_type | PC_type |   rtol   | max_it |                                                      |
+----------+---------+----------+--------+------------------------------------------------------+
|    cg    |   asm   | 1.0e-10  |  100   |                                                      |
+----------+---------+----------+--------+------------------------------------------------------+
|                                                                                               |
| Constitutive model:                                                                           |
+---------------+--------------------------------------------------+----------------------------+
| Element type  | List of elements                                 |                            |
+---------------+--------------------------------------------------+----------------------------+
| elastic       | spring                                           |                            |
| non-elastic   | kelvin, creep_dislocation, creep_pressure, desai |                            |
| thermoelastic |                                                  |                            |
+---------------+--------------------------------------------------+----------------------------+
|                                                                                               |
| Output info:                                                                                  |
+--------------------+------------------+-------------------------+-----------------------------+
| Location           | Field name       | Label name              |                             |
+--------------------+------------------+-------------------------+-----------------------------+
| output/case_leaching_linear_csv(180)_365days_SA_SIC_regular1200/operation | u                | Displacement (m)       |
| output/case_leaching_linear_csv(180)_365days_SA_SIC_regular1200/operation | eps_tot          | Total strain (-)       |
| output/case_leaching_linear_csv(180)_365days_SA_SIC_regular1200/operation | eps_vp           | Viscoplastic strain (-)|
| output/case_leaching_linear_csv(180)_365days_SA_SIC_regular1200/operation | alpha            | Hardening parameter (-)|
| output/case_leaching_linear_csv(180)_365days_SA_SIC_regular1200/operation | Fvp              | Yield function (-)     |
| output/case_leaching_linear_csv(180)_365days_SA_SIC_regular1200/operation | p_elems          | Mean stress (Pa)       |
| output/case_leaching_linear_csv(180)_365days_SA_SIC_regular1200/operation | q_elems          | Von Mises stress (Pa)  |
| output/case_leaching_linear_csv(180)_365days_SA_SIC_regular1200/operation | sig              | Stress (Pa)            |
+--------------------+------------------+-------------------------+-----------------------------+
|                                                                                               |
+--------------+-----------+--------------------+------------+------------------+---------------+
| Step counter | dt (hour) | t / t_final (hour) | # of iters | Non-linear error |               |
|      49      |   2.000   |  98.000 / 9480.0   |     4      |    2.3768e-10    |               |
|      50      |   2.000   |  100.000 / 9480.0  |     4      |    1.0404e-09    |               |
|      51      |   2.000   |  102.000 / 9480.0  |     4      |    2.4168e-10    |               |
|      52      |   2.000   |  104.000 / 9480.0  |     4      |    1.0436e-09    |               |
|      53      |   2.000   |  106.000 / 9480.0  |     4      |    2.4542e-10    |               |
|      54      |   2.000   |  108.000 / 9480.0  |     4      |    1.0457e-09    |               |
|      55      |   2.000   |  110.000 / 9480.0  |     4      |    2.4894e-10    |               |
|      56      |   2.000   |  112.000 / 9480.0  |     4      |    1.0469e-09    |               |
|      57      |   2.000   |  114.000 / 9480.0  |     4      |    2.5225e-10    |               |
|      58      |   2.000   |  116.000 / 9480.0  |     4      |    1.0473e-09    |               |
|      59      |   2.000   |  118.000 / 9480.0  |     4      |    2.5539e-10    |               |
|      60      |   2.000   |  120.000 / 9480.0  |     4      |    1.0469e-09    |               |
|      61      |   2.000   |  122.000 / 9480.0  |     4      |    2.5838e-10    |               |
|      62      |   2.000   |  124.000 / 9480.0  |     4      |    1.0460e-09    |               |
|      63      |   2.000   |  126.000 / 9480.0  |     4      |    2.6123e-10    |               |
|      64      |   2.000   |  128.000 / 9480.0  |     4      |    1.0445e-09    |               |
|      65      |   2.000   |  130.000 / 9480.0  |     4      |    2.6396e-10    |               |
|      66      |   2.000   |  132.000 / 9480.0  |     4      |    1.0425e-09    |               |
|      67      |   2.000   |  134.000 / 9480.0  |     4      |    2.6657e-10    |               |
|      68      |   2.000   |  136.000 / 9480.0  |     4      |    1.0401e-09    |               |
|      69      |   2.000   |  138.000 / 9480.0  |     4      |    2.6909e-10    |               |
|      70      |   2.000   |  140.000 / 9480.0  |     4      |    1.0373e-09    |               |
|      71      |   2.000   |  142.000 / 9480.0  |     4      |    2.7151e-10    |               |
|      72      |   2.000   |  144.000 / 9480.0  |     4      |    1.0342e-09    |               |
|      73      |   2.000   |  146.000 / 9480.0  |     4      |    2.7385e-10    |               |
|      74      |   2.000   |  148.000 / 9480.0  |     4      |    1.0308e-09    |               |
|      75      |   2.000   |  150.000 / 9480.0  |     4      |    2.7609e-10    |               |
|      76      |   2.000   |  152.000 / 9480.0  |     4      |    1.0272e-09    |               |
|      77      |   2.000   |  154.000 / 9480.0  |     4      |    2.7824e-10    |               |
|      78      |   2.000   |  156.000 / 9480.0  |     4      |    1.0234e-09    |               |
|      79      |   2.000   |  158.000 / 9480.0  |     4      |    2.8033e-10    |               |
|      80      |   2.000   |  160.000 / 9480.0  |     4      |    1.0193e-09    |               |
|      81      |   2.000   |  162.000 / 9480.0  |     4      |    2.8231e-10    |               |
|      82      |   2.000   |  164.000 / 9480.0  |     4      |    1.0150e-09    |               |
|      83      |   2.000   |  166.000 / 9480.0  |     4      |    2.8425e-10    |               |
|      84      |   2.000   |  168.000 / 9480.0  |     4      |    1.0106e-09    |               |
|      85      |   2.000   |  170.000 / 9480.0  |     4      |    2.8603e-10    |               |
|      86      |   2.000   |  172.000 / 9480.0  |     4      |    1.0060e-09    |               |
|      87      |   2.000   |  174.000 / 9480.0  |     4      |    2.8776e-10    |               |
|      88      |   2.000   |  176.000 / 9480.0  |     4      |    1.0014e-09    |               |
|      89      |   2.000   |  178.000 / 9480.0  |     4      |    2.8941e-10    |               |
|      90      |   2.000   |  180.000 / 9480.0  |     4      |    9.9659e-10    |               |
|      91      |   2.000   |  182.000 / 9480.0  |     4      |    2.9095e-10    |               |
|      92      |   2.000   |  184.000 / 9480.0  |     4      |    9.9168e-10    |               |
|      93      |   2.000   |  186.000 / 9480.0  |     4      |    2.9244e-10    |               |
|      94      |   2.000   |  188.000 / 9480.0  |     4      |    9.8673e-10    |               |
|      95      |   2.000   |  190.000 / 9480.0  |     4      |    2.9381e-10    |               |
|      96      |   2.000   |  192.000 / 9480.0  |     4      |    9.8170e-10    |               |
|      97      |   2.000   |  194.000 / 9480.0  |     4      |    2.9502e-10    |               |
|      98      |   2.000   |  196.000 / 9480.0  |     4      |    9.7655e-10    |               |
|      99      |   2.000   |  198.000 / 9480.0  |     4      |    2.9643e-10    |               |
|     100      |   2.000   |  200.000 / 9480.0  |     4      |    9.7151e-10    |               |
|     101      |   2.000   |  202.000 / 9480.0  |     4      |    2.9752e-10    |               |
|     102      |   2.000   |  204.000 / 9480.0  |     4      |    9.6723e-10    |               |
|     103      |   2.000   |  206.000 / 9480.0  |     4      |    3.0950e-10    |               |
|     104      |   2.000   |  208.000 / 9480.0  |     4      |    9.6293e-10    |               |
|     105      |   2.000   |  210.000 / 9480.0  |     4      |    2.9917e-10    |               |
|     106      |   2.000   |  212.000 / 9480.0  |     4      |    9.5563e-10    |               |
|     107      |   2.000   |  214.000 / 9480.0  |     4      |    3.0032e-10    |               |
|     108      |   2.000   |  216.000 / 9480.0  |     4      |    9.5032e-10    |               |
|     109      |   2.000   |  218.000 / 9480.0  |     4      |    3.0115e-10    |               |
|     110      |   2.000   |  220.000 / 9480.0  |     4      |    9.4501e-10    |               |
|     111      |   2.000   |  222.000 / 9480.0  |     4      |    3.0191e-10    |               |
|     112      |   2.000   |  224.000 / 9480.0  |     4      |    9.3968e-10    |               |
|     113      |   2.000   |  226.000 / 9480.0  |     4      |    3.0261e-10    |               |
|     114      |   2.000   |  228.000 / 9480.0  |     4      |    9.3433e-10    |               |
|     115      |   2.000   |  230.000 / 9480.0  |     4      |    3.0333e-10    |               |
|     116      |   2.000   |  232.000 / 9480.0  |     4      |    9.2903e-10    |               |
|     117      |   2.000   |  234.000 / 9480.0  |     4      |    3.0400e-10    |               |
|     118      |   2.000   |  236.000 / 9480.0  |     4      |    9.2363e-10    |               |
|     119      |   2.000   |  238.000 / 9480.0  |     4      |    3.0454e-10    |               |
|     120      |   2.000   |  240.000 / 9480.0  |     4      |    9.1836e-10    |               |
|     121      |   2.000   |  242.000 / 9480.0  |     4      |    3.0509e-10    |               |
|     122      |   2.000   |  244.000 / 9480.0  |     4      |    9.1308e-10    |               |
|     123      |   2.000   |  246.000 / 9480.0  |     4      |    3.0563e-10    |               |
|     124      |   2.000   |  248.000 / 9480.0  |     4      |    9.0780e-10    |               |
|     125      |   2.000   |  250.000 / 9480.0  |     4      |    3.0601e-10    |               |
|     126      |   2.000   |  252.000 / 9480.0  |     4      |    9.0259e-10    |               |
|     127      |   2.000   |  254.000 / 9480.0  |     4      |    3.0649e-10    |               |
|     128      |   2.000   |  256.000 / 9480.0  |     4      |    8.9740e-10    |               |
|     129      |   2.000   |  258.000 / 9480.0  |     4      |    3.0694e-10    |               |
|     130      |   2.000   |  260.000 / 9480.0  |     4      |    8.9220e-10    |               |
|     131      |   2.000   |  262.000 / 9480.0  |     4      |    3.0737e-10    |               |
|     132      |   2.000   |  264.000 / 9480.0  |     4      |    8.8709e-10    |               |
|     133      |   2.000   |  266.000 / 9480.0  |     4      |    3.0772e-10    |               |
|     134      |   2.000   |  268.000 / 9480.0  |     4      |    8.8201e-10    |               |
|     135      |   2.000   |  270.000 / 9480.0  |     4      |    3.0808e-10    |               |
|     136      |   2.000   |  272.000 / 9480.0  |     4      |    8.7697e-10    |               |
|     137      |   2.000   |  274.000 / 9480.0  |     4      |    3.0837e-10    |               |
|     138      |   2.000   |  276.000 / 9480.0  |     4      |    8.7200e-10    |               |
|     139      |   2.000   |  278.000 / 9480.0  |     4      |    3.0875e-10    |               |
|     140      |   2.000   |  280.000 / 9480.0  |     4      |    8.6702e-10    |               |
|     141      |   2.000   |  282.000 / 9480.0  |     4      |    3.0908e-10    |               |
|     142      |   2.000   |  284.000 / 9480.0  |     4      |    8.6207e-10    |               |
|     143      |   2.000   |  286.000 / 9480.0  |     4      |    3.0941e-10    |               |
|     144      |   2.000   |  288.000 / 9480.0  |     4      |    8.5722e-10    |               |
|     145      |   2.000   |  290.000 / 9480.0  |     4      |    3.0969e-10    |               |
|     146      |   2.000   |  292.000 / 9480.0  |     4      |    8.5242e-10    |               |
|     147      |   2.000   |  294.000 / 9480.0  |     4      |    3.1015e-10    |               |
|     148      |   2.000   |  296.000 / 9480.0  |     4      |    8.4771e-10    |               |
|     149      |   2.000   |  298.000 / 9480.0  |     4      |    3.1037e-10    |               |
|     150      |   2.000   |  300.000 / 9480.0  |     4      |    8.4295e-10    |               |
|     151      |   2.000   |  302.000 / 9480.0  |     4      |    3.1071e-10    |               |
|     152      |   2.000   |  304.000 / 9480.0  |     4      |    8.3832e-10    |               |
|     153      |   2.000   |  306.000 / 9480.0  |     4      |    3.1111e-10    |               |
|     154      |   2.000   |  308.000 / 9480.0  |     4      |    8.3370e-10    |               |
|     155      |   2.000   |  310.000 / 9480.0  |     4      |    3.1146e-10    |               |
|     156      |   2.000   |  312.000 / 9480.0  |     4      |    8.2920e-10    |               |
|     157      |   2.000   |  314.000 / 9480.0  |     4      |    3.1183e-10    |               |
|     158      |   2.000   |  316.000 / 9480.0  |     4      |    8.2467e-10    |               |
|     159      |   2.000   |  318.000 / 9480.0  |     4      |    3.1230e-10    |               |
|     160      |   2.000   |  320.000 / 9480.0  |     4      |    8.2024e-10    |               |
|     161      |   2.000   |  322.000 / 9480.0  |     4      |    3.1252e-10    |               |
|     162      |   2.000   |  324.000 / 9480.0  |     4      |    8.1582e-10    |               |
|     163      |   2.000   |  326.000 / 9480.0  |     4      |    3.1288e-10    |               |
|     164      |   2.000   |  328.000 / 9480.0  |     4      |    8.1146e-10    |               |
|     165      |   2.000   |  330.000 / 9480.0  |     4      |    3.1326e-10    |               |
|     166      |   2.000   |  332.000 / 9480.0  |     4      |    8.0728e-10    |               |
|     167      |   2.000   |  334.000 / 9480.0  |     4      |    3.1358e-10    |               |
|     168      |   2.000   |  336.000 / 9480.0  |     4      |    8.0297e-10    |               |
|     169      |   2.000   |  338.000 / 9480.0  |     4      |    3.1385e-10    |               |
|     170      |   2.000   |  340.000 / 9480.0  |     4      |    7.9878e-10    |               |
|     171      |   2.000   |  342.000 / 9480.0  |     4      |    3.1411e-10    |               |
|     172      |   2.000   |  344.000 / 9480.0  |     4      |    7.9455e-10    |               |
|     173      |   2.000   |  346.000 / 9480.0  |     4      |    3.1436e-10    |               |
|     174      |   2.000   |  348.000 / 9480.0  |     4      |    7.9049e-10    |               |
|     175      |   2.000   |  350.000 / 9480.0  |     4      |    3.1461e-10    |               |
|     176      |   2.000   |  352.000 / 9480.0  |     4      |    7.8634e-10    |               |
|     177      |   2.000   |  354.000 / 9480.0  |     4      |    3.1482e-10    |               |
|     178      |   2.000   |  356.000 / 9480.0  |     4      |    7.8238e-10    |               |
|     179      |   2.000   |  358.000 / 9480.0  |     4      |    3.1510e-10    |               |
|     180      |   2.000   |  360.000 / 9480.0  |     4      |    7.7822e-10    |               |
|     181      |   2.000   |  362.000 / 9480.0  |     4      |    3.1497e-10    |               |
|     182      |   2.000   |  364.000 / 9480.0  |     4      |    7.7426e-10    |               |
|     183      |   2.000   |  366.000 / 9480.0  |     4      |    3.1510e-10    |               |
|     184      |   2.000   |  368.000 / 9480.0  |     4      |    7.7022e-10    |               |
|     185      |   2.000   |  370.000 / 9480.0  |     4      |    3.1515e-10    |               |
|     186      |   2.000   |  372.000 / 9480.0  |     4      |    7.6635e-10    |               |
|     187      |   2.000   |  374.000 / 9480.0  |     4      |    3.1496e-10    |               |
|     188      |   2.000   |  376.000 / 9480.0  |     4      |    7.6235e-10    |               |
|     189      |   2.000   |  378.000 / 9480.0  |     4      |    3.1486e-10    |               |
|     190      |   2.000   |  380.000 / 9480.0  |     4      |    7.5827e-10    |               |
|     191      |   2.000   |  382.000 / 9480.0  |     4      |    3.1443e-10    |               |
|     192      |   2.000   |  384.000 / 9480.0  |     4      |    7.5447e-10    |               |
|     193      |   2.000   |  386.000 / 9480.0  |     4      |    3.1443e-10    |               |
|     194      |   2.000   |  388.000 / 9480.0  |     4      |    7.5036e-10    |               |
|     195      |   2.000   |  390.000 / 9480.0  |     4      |    3.1400e-10    |               |
|     196      |   2.000   |  392.000 / 9480.0  |     4      |    7.4643e-10    |               |
|     197      |   2.000   |  394.000 / 9480.0  |     4      |    3.1357e-10    |               |
|     198      |   2.000   |  396.000 / 9480.0  |     4      |    7.4254e-10    |               |
|     199      |   2.000   |  398.000 / 9480.0  |     4      |    3.1289e-10    |               |
|     200      |   2.000   |  400.000 / 9480.0  |     4      |    7.3854e-10    |               |
|     201      |   2.000   |  402.000 / 9480.0  |     4      |    3.1251e-10    |               |
|     202      |   2.000   |  404.000 / 9480.0  |     4      |    7.3463e-10    |               |
|     203      |   2.000   |  406.000 / 9480.0  |     4      |    3.1167e-10    |               |
|     204      |   2.000   |  408.000 / 9480.0  |     4      |    7.3066e-10    |               |
|     205      |   2.000   |  410.000 / 9480.0  |     4      |    3.1092e-10    |               |
|     206      |   2.000   |  412.000 / 9480.0  |     4      |    7.2673e-10    |               |
|     207      |   2.000   |  414.000 / 9480.0  |     4      |    3.1013e-10    |               |
|     208      |   2.000   |  416.000 / 9480.0  |     4      |    7.2257e-10    |               |
|     209      |   2.000   |  418.000 / 9480.0  |     4      |    3.0947e-10    |               |
|     210      |   2.000   |  420.000 / 9480.0  |     4      |    7.1874e-10    |               |
|     211      |   2.000   |  422.000 / 9480.0  |     4      |    3.0840e-10    |               |
|     212      |   2.000   |  424.000 / 9480.0  |     4      |    7.1481e-10    |               |
|     213      |   2.000   |  426.000 / 9480.0  |     4      |    3.0750e-10    |               |
|     214      |   2.000   |  428.000 / 9480.0  |     4      |    7.1093e-10    |               |
|     215      |   2.000   |  430.000 / 9480.0  |     4      |    3.0634e-10    |               |
|     216      |   2.000   |  432.000 / 9480.0  |     4      |    7.0682e-10    |               |
|     217      |   2.000   |  434.000 / 9480.0  |     4      |    3.0537e-10    |               |
|     218      |   2.000   |  436.000 / 9480.0  |     4      |    7.0288e-10    |               |
|     219      |   2.000   |  438.000 / 9480.0  |     4      |    3.0422e-10    |               |
|     220      |   2.000   |  440.000 / 9480.0  |     4      |    6.9889e-10    |               |
|     221      |   2.000   |  442.000 / 9480.0  |     4      |    3.0314e-10    |               |
|     222      |   2.000   |  444.000 / 9480.0  |     4      |    6.9489e-10    |               |
|     223      |   2.000   |  446.000 / 9480.0  |     4      |    3.0198e-10    |               |
|     224      |   2.000   |  448.000 / 9480.0  |     4      |    6.9091e-10    |               |
|     225      |   2.000   |  450.000 / 9480.0  |     4      |    3.0086e-10    |               |
|     226      |   2.000   |  452.000 / 9480.0  |     4      |    6.8717e-10    |               |
|     227      |   2.000   |  454.000 / 9480.0  |     4      |    2.9966e-10    |               |
|     228      |   2.000   |  456.000 / 9480.0  |     4      |    6.8332e-10    |               |
|     229      |   2.000   |  458.000 / 9480.0  |     4      |    2.9847e-10    |               |
|     230      |   2.000   |  460.000 / 9480.0  |     4      |    6.7939e-10    |               |
|     231      |   2.000   |  462.000 / 9480.0  |     4      |    2.9746e-10    |               |
|     232      |   2.000   |  464.000 / 9480.0  |     4      |    6.7557e-10    |               |
|     233      |   2.000   |  466.000 / 9480.0  |     4      |    2.9629e-10    |               |
|     234      |   2.000   |  468.000 / 9480.0  |     4      |    6.7180e-10    |               |
|     235      |   2.000   |  470.000 / 9480.0  |     4      |    2.9515e-10    |               |
|     236      |   2.000   |  472.000 / 9480.0  |     4      |    6.6800e-10    |               |
|     237      |   2.000   |  474.000 / 9480.0  |     4      |    2.9401e-10    |               |
|     238      |   2.000   |  476.000 / 9480.0  |     4      |    6.6419e-10    |               |
|     239      |   2.000   |  478.000 / 9480.0  |     4      |    2.9295e-10    |               |
|     240      |   2.000   |  480.000 / 9480.0  |     4      |    6.6056e-10    |               |
|     241      |   2.000   |  482.000 / 9480.0  |     4      |    2.9198e-10    |               |
|     242      |   2.000   |  484.000 / 9480.0  |     4      |    6.5690e-10    |               |
|     243      |   2.000   |  486.000 / 9480.0  |     4      |    2.9093e-10    |               |
|     244      |   2.000   |  488.000 / 9480.0  |     4      |    6.5326e-10    |               |
|     245      |   2.000   |  490.000 / 9480.0  |     4      |    2.8986e-10    |               |
|     246      |   2.000   |  492.000 / 9480.0  |     4      |    6.4977e-10    |               |
|     247      |   2.000   |  494.000 / 9480.0  |     4      |    2.8878e-10    |               |
|     248      |   2.000   |  496.000 / 9480.0  |     4      |    6.4625e-10    |               |
|     249      |   2.000   |  498.000 / 9480.0  |     4      |    2.8788e-10    |               |
|     250      |   2.000   |  500.000 / 9480.0  |     4      |    6.4273e-10    |               |
|     251      |   2.000   |  502.000 / 9480.0  |     4      |    2.8698e-10    |               |
|     252      |   2.000   |  504.000 / 9480.0  |     4      |    6.3933e-10    |               |
|     253      |   2.000   |  506.000 / 9480.0  |     4      |    2.8603e-10    |               |
|     254      |   2.000   |  508.000 / 9480.0  |     4      |    6.3581e-10    |               |
|     255      |   2.000   |  510.000 / 9480.0  |     4      |    2.8512e-10    |               |
|     256      |   2.000   |  512.000 / 9480.0  |     4      |    6.3252e-10    |               |
|     257      |   2.000   |  514.000 / 9480.0  |     4      |    2.8425e-10    |               |
|     258      |   2.000   |  516.000 / 9480.0  |     4      |    6.2909e-10    |               |
|     259      |   2.000   |  518.000 / 9480.0  |     4      |    2.8331e-10    |               |
|     260      |   2.000   |  520.000 / 9480.0  |     4      |    6.2578e-10    |               |
|     261      |   2.000   |  522.000 / 9480.0  |     4      |    2.8249e-10    |               |
|     262      |   2.000   |  524.000 / 9480.0  |     4      |    6.2253e-10    |               |
|     263      |   2.000   |  526.000 / 9480.0  |     4      |    2.8167e-10    |               |
|     264      |   2.000   |  528.000 / 9480.0  |     4      |    6.1935e-10    |               |
|     265      |   2.000   |  530.000 / 9480.0  |     4      |    2.8086e-10    |               |
